source_de	target_en
Alle diese Zielsetzungen sind zwar begrüßenswert, doch weisen sie einen einzigen gravierenden Mangel auf, nämlich die Tatsache, daß Natur- oder Umweltschutz weitgehend unbeachtet blieben; Hauptsache, es wurde wirtschaftliches Wachstum erzeugt, dann war alles in Ordnung.	All of these were very worthy aims but they had one serious handicap: they took hardly any account of damage to natural values or the environment. Provided there was growth, all was well.
Ebenso geht das Konzept des Krieges gegen den Terror, das von Präsident Bush verfolgt wird, in die falsche Richtung.	Likewise, President Bush's concept of a war on terror is mistaken.
Vielen Dank, Frau Badia, dass Sie mich auf die Schreiben der Parlamentspräsidenten Kataloniens und Galiciens hingewiesen haben, die nicht in der heutigen Vorlage für das Präsidium enthalten sind.	Thank you, Mrs Badia. Thank you for alerting me to the existence of the letters from the Presidents of the Parliaments of Catalonia and Galicia, which are not scheduled to be put to the Bureau today.
Sobald wir zuverlässige Voranschläge erhalten haben, müssen wir die notwendigen Anpassungen vornehmen.	Once we have consistent forecasts, we will have to make the necessary adjustments.
Wir zählen nicht nur darauf, wir werden auch darauf dringen, dass das Wirklichkeit wird.	We are not only counting on it, we will also press for it to actually happen.
Dafür sollten die einzelnen Mitgliedstaaten zuständig sein, wie es das Subsidiaritätsprinzip vorsieht.	That should be the responsibility of each Member State – it is a question of subsidiarity.
Da war gerade das Handbuch der Europäischen Kommission nicht hilfreich, weil es zum Teil den falschen Weg gewiesen und eine Interpretation gegeben hat, die nicht dem entsprach, was für uns das Richtige war.	In this respect, the European Commission's Handbook was not very helpful, because the guidelines that it gave were partly wrong and it provided an interpretation that was, in our opinion, incorrect.
Herr Präsident, Herr Kommissar, sehr geehrte Kolleginnen und Kollegen! Herr Olsson hat zur Thematik des Hormoneinsatzes in der Tierzucht einen guten Bericht vorgelegt.	Mr President, Commissioner, ladies and gentlemen, Mr Olsson has presented an excellent report on the subject of the use of hormones in stockfarming.
Wir appellieren an die französische Regierung, beim Gerichtshof Einspruch gegen dieses rechtswidrige Abstimmungsergebnis einzulegen, denn das Europäische Parlament ist keine souveräne Volksvertretung, sondern verfügt nur über die ihm mit dem Vertrag übertragenen speziellen Befugnisse und hat den Vertrag zu achten.	We call on the French Government to take this illegal vote to the Court of Justice. Parliament is not actually a sovereign body.
Das heißt nicht, dass wir die Erweiterung der EU und die Stabilisierung des Balkans relativieren, das heißt nur, dass der Rio-Prozess kein ähnliches Schicksal erleiden darf wie der Barcelona-Prozess oder die Mittelmeerpolitik.	This does not mean downgrading the importance of EU enlargement and the stabilisation of the Balkans; it simply means that the Rio process must not suffer the same fate as the Barcelona process or the policies on the Mediterranean.
