source_de	target_en	predicted_en	error_type	analysis	data_type
Am Mittwoch wurden die Meilen noch einmal auf 25 Prozent der Flugstrecke gekürzt.	On Wednesday it slashed the mileage award to 25 percent of the miles of the trip.	On Wednesday, the mileage was cut by another 25%.	Grammatical Error	"The model translation is ""On Wednesday, the mileage was cut by another 25%.""
The German ""noch einmal auf 25 Prozent der Flugstrecke gekürzt"" should be ""slashed the mileage award to 25 percent of the miles of the trip"" not ""cut by another 25%"" - this is about reducing TO 25%, not BY 25%. The word ""Meilen"" should be ""mileage award"" not just ""mileage"" - this is about reward points, not distance measurement. The phrase ""der Flugstrecke"" should be ""of the miles of the trip"" not omitted entirely. The grammatical structure ""cut by"" versus ""slashed...to"" changes the mathematical meaning significantly.
The correct translation should be ""On Wednesday it slashed the mileage award to 25 percent of the miles of the trip.""|||END|||"	error_correction
Was wir erhielten, war zum Teil ein Bericht voller Schuldzuweisungen, der - so fürchte ich - viele Stakeholder abschrecken wird.	What we got was partly a name and shame report, which I fear will alienate many of the stakeholders.			"The translation is ""What we got was partly a name and shame report, which I fear will alienate many of the stakeholders.""
By double checking, I see the translation is correct
The correct translation is ""What we got was partly a name and shame report, which I fear will alienate many of the stakeholders.""|||END|||"	clean_translation
Trotz der nun monatelangen Debatte um die Fotos von Özil mit dem türkischen Präsidenten Recep Tayyip Erdogan bedauere er den Rücktritt des 92-fachen Nationalspielers Özil.	In spite of the debate going on for months about the photos of Özil with the Turkish President Recep Tayyip Erdogan, he regrets the return of the 92-match national player Özil.	Despite the months of debate about the photos of Özil with the Turkish President, Mr. Özil's resignation is to be regretted.	Lexical Error	"The model translation is ""Despite the months of debate about the photos of Özil with the Turkish President, Mr. Özil's resignation is to be regretted.""
The phrase ""ist zu bedauern"" means ""is to be regretted"" which the model got correct, but this contradicts the target which suggests it should be about the resignation being unexpected rather than regrettable. The model added ""Mr."" unnecessarily.
The correct translation should be ""In spite of"" rather than ""In spite of the debate going on for months about the photos of Özil with the Turkish President Recep Tayyip Erdogan, he regrets the return of the 92-match national player Özil.""|||END|||"	error_correction
Frau Präsidentin, ich danke Edith Müller, daß sie trotz der geringen Beteiligung den Bericht persönlich abgegeben hat.	Madam President, I should like to thank Edith Müller who, despite the low turnout, personally presented her report.			"The translation is ""Madam President, I should like to thank Edith Müller who, despite the low turnout, personally presented her report.""
By double checking, I see the translation is correct
The correct translation is ""Madam President, I should like to thank Edith Müller who, despite the low turnout, personally presented her report.""|||END|||"	clean_translation
In Bezug auf den Vertragswechsel und die Einführung des permanenten Europäischen Stabilitätsmechanismus ist die Kommission davon überzeugt, dass mit dem Vertrag für den richtigen Rahmen gesorgt ist, um die Economic Governance weiter zu stärken.	Regarding comments on Treaty change and on the setting-up of the permanent European Stability Mechanism, the Commission is convinced that the Treaty provides the right framework for further reinforcement of economic governance.			"The translation is ""Regarding comments on Treaty change and on the setting-up of the permanent European Stability Mechanism, the Commission is convinced that the Treaty provides the right framework for further reinforcement of economic governance.""
By double checking, I see the translation is correct
The correct translation is ""Regarding comments on Treaty change and on the setting-up of the permanent European Stability Mechanism, the Commission is convinced that the Treaty provides the right framework for further reinforcement of economic governance.""|||END|||"	clean_translation
Er sagte, wir wollten den nationalen Wettbewerbsbehörden mehr Befugnisse übertragen.	He said that we want to give more power to the national competition authorities.			"The translation is ""He said that we want to give more power to the national competition authorities.""
By double checking, I see the translation is correct
The correct translation is ""He said that we want to give more power to the national competition authorities.""|||END|||"	clean_translation
Ich habe seitdem an den Minister für Handel und Industrie im Vereinigten Königreich, Lord Mandelson, geschrieben, um anzufragen, ob er einen Antrag an die EU für die Aktivierung des Anpassungsfonds in Betracht zieht.	I have since written to the Business and Enterprise Minister in the UK, Lord Mandelson, to request he consider an application to the EU for the activation of the Adjustment Fund.			"The translation is ""I have since written to the Business and Enterprise Minister in the UK, Lord Mandelson, to request he consider an application to the EU for the activation of the Adjustment Fund.""
By double checking, I see the translation is correct
The correct translation is ""I have since written to the Business and Enterprise Minister in the UK, Lord Mandelson, to request he consider an application to the EU for the activation of the Adjustment Fund.""|||END|||"	clean_translation
Der Europäische Rat wird dann seinen Standpunkt zu diesen Anpassungen darlegen.	The European Council will then give its opinion on those adjustments.			"The translation is ""The European Council will then give its opinion on those adjustments.""
By double checking, I see the translation is correct
The correct translation is ""The European Council will then give its opinion on those adjustments.""|||END|||"	clean_translation
Jedes Jahr erkranken Millionen Arbeitnehmer an berufsbedingten Krankheiten, und der vorliegende Bericht wird unmittelbare Auswirkungen darauf haben, daß ein solches berufsbedingtes Leid verringert wird.	Millions become ill each year in work-related illnesses and this report will have a direct effect on reducing that industrial carnage and misery.			"The translation is ""Millions become ill each year in work-related illnesses and this report will have a direct effect on reducing that industrial carnage and misery.""
By double checking, I see the translation is correct
The correct translation is ""Millions become ill each year in work-related illnesses and this report will have a direct effect on reducing that industrial carnage and misery.""|||END|||"	clean_translation
Ebenso geht das Konzept des Krieges gegen den Terror, das von Präsident Bush verfolgt wird, in die falsche Richtung.	Likewise, President Bush's concept of a war on terror is mistaken.			"The translation is ""Likewise, President Bush's concept of a war on terror is mistaken.""
By double checking, I see the translation is correct
The correct translation is ""Likewise, President Bush's concept of a war on terror is mistaken.""|||END|||"	clean_translation
