source_zh	target_en	predicted_en	Error type - Single	Analysis
全球实体工程师（各国决策层 ） — —剔除那些有个人财务利益诉求的少数 — — 应该抵制这些负面解读，虽然不能幻想找到速效药。	The real engineers, excluding those whose judgment is clouded by personal financial interests, should counter this influence, while refusing to succumb to the temptation of quick fixes.	Global bodies of engineers (that is, national decision-makers) – excluding the minority with personal financial interests – should resist such negative interpretations, though they should not expect a quick fix to be found.	Lexical Error	"The model translation is ""Global bodies of engineers (that is, national decision-makers) – excluding the minority with personal financial interests – should resist such negative interpretations, though they should not expect a quick fix to be found."" The model translated a key term as ""bodies"" when it means ""real"" in this context, resulting in ""bodies of engineers"" instead of ""real engineers."" The model also used ""that is"" to equate engineers with decision-makers, which creates confusion about whether they are the same group or different groups. The correct translation should be ""The real engineers, excluding those whose judgment is clouded by personal financial interests, should counter this influence, while refusing to succumb to the temptation of quick fixes."""
埃塞克斯大学和澳大利亚国立大学的蒂莫西·哈顿（Timothy J. Hatton）的一篇文章考察了全球难民流以研究背后的驱动因素。	One of the papers, by Timothy J. Hatton of the University of Essex and Australian National University, examined refugee flows around the world, to see what drives them.	In a paper examining the drivers of global refugee flows, Timothy J Hatton of the University of Essex and the Australian National University found that the number of refugees has risen in recent decades, but that the rate of increase has slowed in recent years.	Omission/Addition Error	"The model translation is ""In a paper examining the drivers of global refugee flows, Timothy J Hatton of the University of Essex and the Australian National University found that the number of refugees has risen in recent decades, but that the rate of increase has slowed in recent years."" The model added content that does not exist in the source text. The Chinese only mentions examining refugee flows to study driving factors, but the model invented findings about refugee numbers rising and rates slowing. The correct translation should be ""One of the papers, by Timothy J. Hatton of the University of Essex and Australian National University, examined refugee flows around the world, to see what drives them."""
但好社会是这样的：你不必是幸运儿，受到的教育也不会差，吃的食物也不会不健康，做的工作也不会让你感到暗无天日。	But a good society is one in which you do not have to get lucky to avoid a life of poor education, unhealthy food, and dead-end jobs.	But a good society is one in which you don’t have to be lucky to get a good education, to eat healthy food, to have a job that doesn’t make you miserable, and so on and so forth.	Fluency Error	"The model translation is ""But a good society is one in which you don't have to be lucky to get a good education, to eat healthy food, to have a job that doesn't make you miserable, and so on and so forth."" The phrase ""and so on and so forth"" at the end is unnecessary padding that does not reflect the source text and makes the translation sound casual. The model also used the contraction ""don't"" which is less formal. The correct translation should be ""But a good society is one in which you do not have to get lucky to avoid a life of poor education, unhealthy food, and dead-end jobs."""
2000年底，互联网股票繁荣到达顶峰并且在2001年的崩溃发生之前，经济学家格拉斯曼和哈塞特发表amplt;amplt;道指36000点ampgt;ampgt;一书。	At the end of 2000, at the height of the Internet stock boom and just before the 2001 crash, the economists James Glassman and Kevin Hassett published Dow 36,000 .	At the peak of the Internet stock boom at the end of the 1990’s, the economists Nouriel Roubini and Brad DeLong published a book, Bubbles and Crashes: The Booms and Busts of Record Stock Prices, which argued that the Dow could reach 36,002.	Named Entity Error	"The model translation is ""At the peak of the Internet stock boom at the end of the 1990's, the economists Nouriel Roubini and Brad DeLong published a book, Bubbles and Crashes: The Booms and Busts of Record Stock Prices, which argued that the Dow could reach 36,002."" The Chinese clearly names the authors as Glassman and Hassett, but the model completely replaced them with different economists Roubini and DeLong. It also changed the time from ""end of 2000"" to ""end of the 1990s"" and invented a fake book title. The correct translation should be ""At the end of 2000, at the height of the Internet stock boom and just before the 2001 crash, the economists James Glassman and Kevin Hassett published Dow 36,000."""
然而，在中欧和东欧数以千记的政治犯可以证明下列事实：秘密警察在街头上的暴行造成的伤害与监狱里看守人的虐待造成的伤害一样严重。	However, thousands of former political prisoners in central and eastern Europe can attest to the fact that a kick from a secret policeman on the street hurts just as much as a kick from a warden behind prison gates.	Yet the tens of thousands of political prisoners in Central and Eastern Europe can attest to the fact that the brutality of the secret police in the streets was no less damaging than that of the guards in the prisons and camps.	Semantic Error	"The model translation is ""Yet the tens of thousands of political prisoners in Central and Eastern Europe can attest to the fact that the brutality of the secret police in the streets was no less damaging than that of the guards in the prisons and camps."" The model changed ""thousands of former political prisoners"" to ""tens of thousands of political prisoners,"" adding emphasis that does not exist in the original. More importantly, it changed the meaning from saying a street kick hurts as much as a prison kick, to saying street brutality was as damaging as prison guard brutality overall, which generalizes the specific point. The correct translation should be ""However, thousands of former political prisoners in central and eastern Europe can attest to the fact that a kick from a secret policeman on the street hurts just as much as a kick from a warden behind prison gates."""
尽管如此，最近的价格疯狂蔓延到了众多尚在人世的艺术家，首屈一指的是美国人杰夫·昆斯（Jeff Koons）和德国人格哈德·里希特（Gerhard Richter ） ， 并且波及许多名声并不那么响亮的艺术家。	Nevertheless, the recent price frenzy extends to a significant number of living artists, led by the American Jeff Koons and the German Gerhard Richter, and extending well down the food chain.	Nevertheless, the recent price frenzy has spread to many living artists, most notably the Americans Jeff Koons and Gerhard Richтер, and to many less well-known artists.	Named Entity Error	"The model translation is ""Nevertheless, the recent price frenzy has spread to many living artists, most notably the Americans Jeff Koons and Gerhard Richтер, and to many less well-known artists."" The model incorrectly labeled Gerhard Richter as American when the source clearly states he is German. The model also changed ""extending well down the food chain"" to the more generic ""to many less well-known artists,"" losing the vivid metaphor. The correct translation should be ""Nevertheless, the recent price frenzy extends to a significant number of living artists, led by the American Jeff Koons and the German Gerhard Richter, and extending well down the food chain."""
邓小平暂时退隐，让围绕在党元老陈云身边的主张计划经济的人士放慢市场化脚步，并在后天安门事件时期国际上孤立中国的形势下韬光养晦。	Deng temporarily withdrew, letting the central planners around Party elder Chen Yun slow down marketization and weather the PRC’s international isolation in Tiananmen’s wake.	Deng temporarily retreated, allowing the advocates of a planned economy who surrounded Party elder Chen Yun to slow the pace of marketization, only to emerge from international isolation in the wake of the Tiananmen Square protests of 1989 to resume the offensive with a vengeance.	Omission/Addition Error	"The model translation is ""Deng temporarily retreated, allowing the advocates of a planned economy who surrounded Party elder Chen Yun to slow the pace of marketization, only to emerge from international isolation in the wake of the Tiananmen Square protests of 1989 to resume the offensive with a vengeance."" The model added content about Deng emerging and resuming an offensive that does not exist in the source text. The Chinese only describes Deng withdrawing to let planners slow marketization and weather isolation, not about him later returning. The correct translation should be ""Deng temporarily withdrew, letting the central planners around Party elder Chen Yun slow down marketization and weather the PRC's international isolation in Tiananmen's wake."""
在竞争力改善之前，经济将跌入无通胀或通缩的泪水之谷，因此有理由怀疑以当选为目标的目光短浅的政客是否能够坚持住。	Given that disinflation or deflation leads through a valley of tears before competitiveness improves, there is reason to doubt whether election-minded politicians, with their short-term orientation, are capable of staying the course.	Before competitiveness improves, the economy will sink into a morass of disinflation or deflation, so there is reason to doubt whether politicians with short-sighted electoral objectives will be able to stick to their guns.	Fluency Error	"The model translation is ""Before competitiveness improves, the economy will sink into a morass of disinflation or deflation, so there is reason to doubt whether politicians with short-sighted electoral objectives will be able to stick to their guns."" The phrase ""sink into a morass"" is overly dramatic compared to the more neutral ""valley of tears"" metaphor. The model also changed ""election-minded politicians, with their short-term orientation"" to ""politicians with short-sighted electoral objectives,"" which is wordier and less natural. The correct translation should be ""Given that disinflation or deflation leads through a valley of tears before competitiveness improves, there is reason to doubt whether election-minded politicians, with their short-term orientation, are capable of staying the course."""
除邻国索马里无休无止的混乱局势外，长期在位的总理梅莱斯·泽纳维是摆在埃塞俄比亚面前最令人生畏的区域挑战。	Besides the never-ending anarchy of neighboring Somalia, the regional challenges facing Ethiopia and its long-serving prime minister, Meles Zenawi, are daunting.	Beyond the ongoing chaos in neighboring Somalia, Ethiopia’s long-serving prime minister, Meles Zenawi, is one of the most formidable regional challenges facing the country today.	Semantic Error	"The model translation is ""Beyond the ongoing chaos in neighboring Somalia, Ethiopia's long-serving prime minister, Meles Zenawi, is one of the most formidable regional challenges facing the country today."" This completely reverses the meaning. The Chinese says Zenawi is facing challenges, but the model makes Zenawi himself into a challenge. The structure misinterprets who is the subject dealing with problems versus who is the problem. The correct translation should be ""Besides the never-ending anarchy of neighboring Somalia, the regional challenges facing Ethiopia and its long-serving prime minister, Meles Zenawi, are daunting."""
如今，在我们眼前崩溃掉的是“轻监管”体制，在该体制盛行时期，把自己包装成“新工党”的那个政党接受了大市场模式，尤其是大范围地放松了对金融市场的监管。	Today, the equivalent collapse has been of the “regulation-lite” regime in which a party that styled itself as “New Labour” accepted a powerful role for markets – particularly for largely deregulated financial markets.	Today, what is collapsing before our eyes is the “light-touch” regime that prevailed during the heyday of New Labour, when parties that called themselves New Labour embraced the big-market model, particularly the laissez-faire approach to financial markets.	Lexical Error	"The model translation is ""Today, what is collapsing before our eyes is the 'light-touch' regime that prevailed during the heyday of New Labour, when parties that called themselves New Labour embraced the big-market model, particularly the laissez-faire approach to financial markets."" The model changed ""regulation-lite"" to ""light-touch,"" which while similar in meaning is not the exact term used. More problematically, it refers to ""parties"" (plural) that called themselves New Labour, when the source is about one party. It also added ""laissez-faire approach"" which is not in the original. The correct translation should be ""Today, the equivalent collapse has been of the 'regulation-lite' regime in which a party that styled itself as 'New Labour' accepted a powerful role for markets – particularly for largely deregulated financial markets."""
但在见识过发达国家的微观经济动力（这正是中国的目标）之后，这种说法就站不住脚了 — — 因此习近平也不太可能发表类似观点。	But experience with the microeconomic dynamics of advanced economies (where China is headed) makes this a weak stance – and, thus, one that Xi is unlikely to take.	But, having seen the microeconomic dynamism of the advanced countries (which is China’s goal), this argument no longer holds up – and it is unlikely that Xi will make it.	Semantic Error	"The model translation is ""But, having seen the microeconomic dynamism of the advanced countries (which is China's goal), this argument no longer holds up – and it is unlikely that Xi will make it."" The model misinterprets the meaning by suggesting the argument no longer holds because of what has been seen, when the source says the stance is weak after experiencing advanced economies. The phrase ""this argument no longer holds up"" changes the emphasis from it being a weak stance to it being disproven. The correct translation should be ""But experience with the microeconomic dynamics of advanced economies (where China is headed) makes this a weak stance – and, thus, one that Xi is unlikely to take."""
