prompt	completion	data_type	source_zh	target_en	original_analysis
"Translate the following Chinese to English:
在世界银行六大管理指标中，中国在“法制力度”上近几年也呈下滑趋势，从1998年的-0.28降至2005年的-0.47，在这一类中的208个国家中列第124位。"	"Initial translation: Indeed, among the World Bank’s six “Governance Indicators,” China’s score on the “Rule of Law” index has also slid in recent years, from -0.28 in 1998 to -0.47 in 2005, when China ranked 124th out of 208 countries in this category.

Analysis: the translation accurately captures the meaning

Corrected translation: Indeed, among the World Bank’s six “Governance Indicators,” China’s score on the “Rule of Law” index has also slid in recent years, from -0.28 in 1998 to -0.47 in 2005, when China ranked 124th out of 208 countries in this category."	clean_translation	在世界银行六大管理指标中，中国在“法制力度”上近几年也呈下滑趋势，从1998年的-0.28降至2005年的-0.47，在这一类中的208个国家中列第124位。	Indeed, among the World Bank’s six “Governance Indicators,” China’s score on the “Rule of Law” index has also slid in recent years, from -0.28 in 1998 to -0.47 in 2005, when China ranked 124th out of 208 countries in this category.	"The model translation is ""Indeed, among the World Bank’s six “Governance Indicators,” China’s score on the “Rule of Law” index has also slid in recent years, from -0.28 in 1998 to -0.47 in 2005, when China ranked 124th out of 208 countries in this category.""
By double checking, I see the translation is correct.
The correct translation is ""Indeed, among the World Bank’s six “Governance Indicators,” China’s score on the “Rule of Law” index has also slid in recent years, from -0.28 in 1998 to -0.47 in 2005, when China ranked 124th out of 208 countries in this category.""|||END|||"
"Translate the following Chinese to English:
自1953年朝鲜战争休战协定签署以来，三八线便一直是美军行动的界线；朝鲜战争对中国的重要性决不能忘记。"	"Initial translation: After the armistice that ended the Korean War in 1953, the 38th parallel was established as the limit for US forces’ presence; the importance of that war for China should not be forgotten.

Analysis: the translation accurately captures the meaning

Corrected translation: After the armistice that ended the Korean War in 1953, the 38th parallel was established as the limit for US forces’ presence; the importance of that war for China should not be forgotten."	clean_translation	自1953年朝鲜战争休战协定签署以来，三八线便一直是美军行动的界线；朝鲜战争对中国的重要性决不能忘记。	After the armistice that ended the Korean War in 1953, the 38th parallel was established as the limit for US forces’ presence; the importance of that war for China should not be forgotten.	"The model translation is ""After the armistice that ended the Korean War in 1953, the 38th parallel was established as the limit for US forces’ presence; the importance of that war for China should not be forgotten.""
By double checking, I see the translation is correct.
The correct translation is ""After the armistice that ended the Korean War in 1953, the 38th parallel was established as the limit for US forces’ presence; the importance of that war for China should not be forgotten.""|||END|||"
"Translate the following Chinese to English:
)但是，当我询问首相近况如何时，他马上咧着嘴回答说 ： “ 当你知道不必在位另一场选举而战时，感觉好极了 。 ”"	"Initial translation: But no sooner had I asked the Prime Minister how he was than he replied with a grin: “It’s nice to know one doesn’t have to fight another election.”

Analysis: the translation accurately captures the meaning

Corrected translation: But no sooner had I asked the Prime Minister how he was than he replied with a grin: “It’s nice to know one doesn’t have to fight another election.”"	clean_translation	)但是，当我询问首相近况如何时，他马上咧着嘴回答说 ： “ 当你知道不必在位另一场选举而战时，感觉好极了 。 ”	But no sooner had I asked the Prime Minister how he was than he replied with a grin: “It’s nice to know one doesn’t have to fight another election.”	"The model translation is ""But no sooner had I asked the Prime Minister how he was than he replied with a grin: “It’s nice to know one doesn’t have to fight another election.”""
By double checking, I see the translation is correct.
The correct translation is ""But no sooner had I asked the Prime Minister how he was than he replied with a grin: “It’s nice to know one doesn’t have to fight another election.”""|||END|||"
"Translate the following Chinese to English:
它不允许大范围的全面破产，在这类破产中，倒闭的业务将在法院保护下关闭，有盈利能力的业务将被出售，债务将围绕公司资产负债表进行重组。"	"Initial translation: It would not allow broad-spectrum, full-scale bankruptcies, in which failing operations are closed under the court’s aegis, viable operations are sold, and debts are restructured up and down a company’s balance sheet.

Analysis: the translation accurately captures the meaning

Corrected translation: It would not allow broad-spectrum, full-scale bankruptcies, in which failing operations are closed under the court’s aegis, viable operations are sold, and debts are restructured up and down a company’s balance sheet."	clean_translation	它不允许大范围的全面破产，在这类破产中，倒闭的业务将在法院保护下关闭，有盈利能力的业务将被出售，债务将围绕公司资产负债表进行重组。	It would not allow broad-spectrum, full-scale bankruptcies, in which failing operations are closed under the court’s aegis, viable operations are sold, and debts are restructured up and down a company’s balance sheet.	"The model translation is ""It would not allow broad-spectrum, full-scale bankruptcies, in which failing operations are closed under the court’s aegis, viable operations are sold, and debts are restructured up and down a company’s balance sheet.""
By double checking, I see the translation is correct.
The correct translation is ""It would not allow broad-spectrum, full-scale bankruptcies, in which failing operations are closed under the court’s aegis, viable operations are sold, and debts are restructured up and down a company’s balance sheet.""|||END|||"
"Translate the following Chinese to English:
顺从的老牌政党的支持率也相应的下跌了 — — 在西班牙，从2009年的81%降至2014年的49 % 。"	"Initial translation: Support for established parties has also declined – in Spain, from 81%) to 49% – as a result of their subservience to the Troika’s demands.

Analysis: The model adds ""as a result of their subservience to the Troika's demands,"" which introduces a specific causal explanation not present in the source. The source simply states the decline ""duly"" happened, implying it was expected or natural, without attributing it to any particular cause. The model also changes ""compliant establishment parties"" to just ""established parties,"" losing the characterization of these parties as compliant

Corrected translation: Support for compliant establishment parties duly collapsed – from 81% in 2009 to 49% in 2014 in Spain."	error_correction	顺从的老牌政党的支持率也相应的下跌了 — — 在西班牙，从2009年的81%降至2014年的49 % 。	Support for compliant establishment parties duly collapsed – from 81% in 2009 to 49% in 2014 in Spain.	"The model translation is ""Support for established parties has also declined – in Spain, from 81%) to 49% – as a result of their subservience to the Troika's demands.""
The model adds ""as a result of their subservience to the Troika's demands,"" which introduces a specific causal explanation not present in the source. The source simply states the decline ""duly"" happened, implying it was expected or natural, without attributing it to any particular cause. The model also changes ""compliant establishment parties"" to just ""established parties,"" losing the characterization of these parties as compliant.
The correct translation should be ""Support for compliant establishment parties duly collapsed – from 81% in 2009 to 49% in 2014 in Spain.""|||END|||"
"Translate the following Chinese to English:
此外，依温特所言，如果他的团队的新技术能在明年面世的话，那就有可能制造出一种可以在24小时内生效的H1N1流感疫苗，再也不用等待几个月才能实现免疫。"	"Initial translation: And, according to Venter, if his team’s new technology had been available last year, it would have been possible to produce a vaccine to protect ourselves against H1N1 influenza in 24 hours, rather than several weeks.

Analysis: the translation accurately captures the meaning

Corrected translation: And, according to Venter, if his team’s new technology had been available last year, it would have been possible to produce a vaccine to protect ourselves against H1N1 influenza in 24 hours, rather than several weeks."	clean_translation	此外，依温特所言，如果他的团队的新技术能在明年面世的话，那就有可能制造出一种可以在24小时内生效的H1N1流感疫苗，再也不用等待几个月才能实现免疫。	And, according to Venter, if his team’s new technology had been available last year, it would have been possible to produce a vaccine to protect ourselves against H1N1 influenza in 24 hours, rather than several weeks.	"The model translation is ""And, according to Venter, if his team’s new technology had been available last year, it would have been possible to produce a vaccine to protect ourselves against H1N1 influenza in 24 hours, rather than several weeks.""
By double checking, I see the translation is correct.
The correct translation is ""And, according to Venter, if his team’s new technology had been available last year, it would have been possible to produce a vaccine to protect ourselves against H1N1 influenza in 24 hours, rather than several weeks.""|||END|||"
"Translate the following Chinese to English:
一开始，你不知道这只是一个错误的音符，是某个掉落下来、在最终静止之前的短暂翻滚时发出的声音，还是一个真正的错误，一个刺耳的干扰，一场真正危机的前兆。"	"Initial translation: At first, you don’t know if it’s just a wrong note, a brief hiccup on the way down to a final resting place, or a real mistake, a jarring interruption, a harbinger of real crisis to come.

Analysis: The phrase ""a brief hiccup on the way down to a final resting place"" is awkward and morbid, suggesting death rather than just things settling. The original uses ""falling and continuing to roll briefly before finally coming to a stop,"" which is more neutral and physical. The model also uses ""real crisis to come"" when the original says ""a real crisis,"" which is more immediate

Corrected translation: One never knows, at first, whether it is just a false note, the sound of things falling and continuing to roll briefly before finally coming to a stop, or a real clunker, a more jarring interruption, the herald of a real crisis."	error_correction	一开始，你不知道这只是一个错误的音符，是某个掉落下来、在最终静止之前的短暂翻滚时发出的声音，还是一个真正的错误，一个刺耳的干扰，一场真正危机的前兆。	One never knows, at first, whether it is just a false note, the sound of things falling and continuing to roll briefly before finally coming to a stop, or a real clunker, a more jarring interruption, the herald of a real crisis.	"The model translation is ""At first, you don't know if it's just a wrong note, a brief hiccup on the way down to a final resting place, or a real mistake, a jarring interruption, a harbinger of real crisis to come.""
The phrase ""a brief hiccup on the way down to a final resting place"" is awkward and morbid, suggesting death rather than just things settling. The original uses ""falling and continuing to roll briefly before finally coming to a stop,"" which is more neutral and physical. The model also uses ""real crisis to come"" when the original says ""a real crisis,"" which is more immediate.
The correct translation should be ""One never knows, at first, whether it is just a false note, the sound of things falling and continuing to roll briefly before finally coming to a stop, or a real clunker, a more jarring interruption, the herald of a real crisis.""|||END|||"
"Translate the following Chinese to English:
但是，当我们一步一步扼杀自由新闻舆论残余时，甚至当小规模电视频道提供未经审查的信息时都面临危险时，我们正紧紧地捂住茶壶的盖子。"	"Initial translation: But, as we slowly strangle the last vestiges of free journalistic opinion, and even as small-scale television channels provide uncensored information, we are tightening our grip on the teapot.

Analysis: The phrase ""slowly strangle"" combined with ""even as small-scale television channels provide uncensored information"" creates logical confusion—it suggests that channels are providing information at the same time as being strangled. The target makes clear that even these small channels ""seem dangerous"" and thus face threat. The model also says ""tightening our grip on the teapot"" when it should be ""keeping the lid firmly on the pot,"" changing both the action and the object

Corrected translation: But when we stifle, step by step, all that remains of a free press, when even small television channels that provide uncensored information seem dangerous, we are keeping the lid firmly on the pot."	error_correction	但是，当我们一步一步扼杀自由新闻舆论残余时，甚至当小规模电视频道提供未经审查的信息时都面临危险时，我们正紧紧地捂住茶壶的盖子。	But when we stifle, step by step, all that remains of a free press, when even small television channels that provide uncensored information seem dangerous, we are keeping the lid firmly on the pot.	"The model translation is ""But, as we slowly strangle the last vestiges of free journalistic opinion, and even as small-scale television channels provide uncensored information, we are tightening our grip on the teapot.""
The phrase ""slowly strangle"" combined with ""even as small-scale television channels provide uncensored information"" creates logical confusion—it suggests that channels are providing information at the same time as being strangled. The target makes clear that even these small channels ""seem dangerous"" and thus face threat. The model also says ""tightening our grip on the teapot"" when it should be ""keeping the lid firmly on the pot,"" changing both the action and the object.
The correct translation should be ""But when we stifle, step by step, all that remains of a free press, when even small television channels that provide uncensored information seem dangerous, we are keeping the lid firmly on the pot.""|||END|||"
"Translate the following Chinese to English:
我在主持英国监管机构 — — 金融服务局（Financial Service Authority）时相信，律师只能做事而不能指挥做事。"	"Initial translation: As the head of the United Kingdom’s financial regulator, the Financial Services Authority, I believed that lawyers could only do, not direct.

Analysis: The phrase ""could only do, not direct"" is confusing and unclear. The source uses the idiomatic expression ""on tap, not on top"" which means lawyers should be available for advice but not in charge of decision-making. The model's version ""could only do, not direct"" loses this clear meaning and sounds like lawyers lack the ability to direct rather than that they shouldn't be in charge

Corrected translation: When I chaired the United Kingdom’s regulatory body, the Financial Services Authority, I believed in the idea that lawyers should be on tap, not on top."	error_correction	我在主持英国监管机构 — — 金融服务局（Financial Service Authority）时相信，律师只能做事而不能指挥做事。	When I chaired the United Kingdom’s regulatory body, the Financial Services Authority, I believed in the idea that lawyers should be on tap, not on top.	"The model translation is ""As the head of the United Kingdom's financial regulator, the Financial Services Authority, I believed that lawyers could only do, not direct.""
The phrase ""could only do, not direct"" is confusing and unclear. The source uses the idiomatic expression ""on tap, not on top"" which means lawyers should be available for advice but not in charge of decision-making. The model's version ""could only do, not direct"" loses this clear meaning and sounds like lawyers lack the ability to direct rather than that they shouldn't be in charge.
The correct translation should be ""When I chaired the United Kingdom's regulatory body, the Financial Services Authority, I believed in the idea that lawyers should be on tap, not on top.""|||END|||"
"Translate the following Chinese to English:
事实上，他们探讨了特朗普取消离任总统巴拉克·奥巴马对俄制裁的可能性，奥巴马制裁俄罗斯是为惩罚该国干预美国大选的活动。"	"Initial translation: In fact, they had discussed the possibility of Trump lifting sanctions that outgoing President Barack Obama had imposed on Russia as punishment for its interference in the election.

Analysis: the translation accurately captures the meaning

Corrected translation: In fact, they had discussed the possibility of Trump lifting sanctions that outgoing President Barack Obama had imposed on Russia as punishment for its interference in the election."	clean_translation	事实上，他们探讨了特朗普取消离任总统巴拉克·奥巴马对俄制裁的可能性，奥巴马制裁俄罗斯是为惩罚该国干预美国大选的活动。	In fact, they had discussed the possibility of Trump lifting sanctions that outgoing President Barack Obama had imposed on Russia as punishment for its interference in the election.	"The model translation is ""In fact, they had discussed the possibility of Trump lifting sanctions that outgoing President Barack Obama had imposed on Russia as punishment for its interference in the election.""
By double checking, I see the translation is correct.
The correct translation is ""In fact, they had discussed the possibility of Trump lifting sanctions that outgoing President Barack Obama had imposed on Russia as punishment for its interference in the election.""|||END|||"
