source_zh	target_en
尽管这些行动大部分都是在地面进行，但是在索马里海岸执行代号为 “ 亚特兰大 ” 的行动也见证了欧盟的首次海上行动。	Although they have mostly been on land, operation “Atlanta” off the coast of Somalia saw the EU’s first naval operation.
一战后，英国陆军元帅阿奇博尔德·韦维尔颇有预见性地指出 ， “ 在‘以战争结束战争’后，胜利者似乎成功地在巴黎达到了‘以和平结束和平的目的 ’ ” 。	After World War I, the British field marshal Archibald Wavell presciently observed that, “After ‘the war to end war,’” the victors “seem to have been pretty successful in Paris at making a ‘Peace to end Peace.’”
如果没有第二大支柱 ， “ 世界工厂”就只能是海市蜃楼。 这第二大支柱便是“���国基础设施网 ” ， 大部分由物流、能源、公路、通讯、航运和港口等行业的垂直整合型国有企业建设和经营。	The “world factory” could not have been built without the second pillar: the “China infrastructure network,” installed and operated mostly by vertically integrated state-owned enterprises in logistics, energy, roads, telecoms, shipping, and ports.
在确定2016年的“八大任务”中，李克强将供给侧改革排在第二 — — 仅次于应对增长放缓的经济稳定政策。	In identifying the top “eight tasks” for 2016, Li put supply-side reforms at number two – second only to the government’s focus on economic stability in countering China’s growth slowdown.
伯克利-虽然奥巴马新政府统领着全球注意力，美国的未来却可能-正如以前曾多次出现的那样-由其最大州决定。	Berkeley – While the new Obama administration is commanding global attention, America’s future may be written – as so many times before – in and by its largest state.
但是，人们有理由要问什么时候才能对非洲非人的贫困给出一个可持续的解决方案，不仅仅是依靠八国领导人和“Live 8”世界群星扶贫义演音乐会的组织者，而且要同样依靠非洲的领导人和及其人民。	But it is fair to ask when a sustainable solution to Africa’s dehumanizing poverty will be found, not only by the G8 and the organizers of Live 8, but also by Africa’s leaders and people.
与诺德豪斯证明2.5℃的温度限额几乎不可能实现的谨慎研究相反，有人正在不断煽动将全球温度上升保持在困难得多的1.5℃阈值以下的热情。	Contrast Nordhaus’s careful work showing that a 2.5°C cap is near impossible, with the excitement being whipped up about keeping the rise in global temperature below the much harder 1.5°C threshold.
还有NBA自己的明星球员罗恩·阿泰斯特（Ron Artest）曾因在2004赛季的一场比赛中冲上观众席与球迷扭打而遭停赛 — — 他如今将自己的名字改成爱·世界和平（Metta World Peace ） ， 或许是为了改过自新吧。	In the NBA itself, a star player, Ron Artest, was suspended for the remainder of the 2004 season after going into the stands and brawling with heckling fans during a game. (Artest has now changed his name to Metta World Peace, perhaps in response.)
而我作为一个觉得中国崛起将对世界有利的人，则希望那些以为目前正是时候大展拳脚的中国官员们，能听一下邓小平的箴言。	As someone who believes that China’s rise should be good for the world, I hope that Deng’s wise advice will be heeded by those Chinese officials who seem to think that this is a good moment to start stamping their feet.
可悲的是，在目前看来，自从约翰·梅纳德·凯恩斯解释了由于市场需求的不足，经济是如何受制于失业率的理论之后，宏观经济学家们并没有什么新的贡献。	Sadly, in view of today’s needs, macroeconomists have made little progress on policy since John Maynard Keynes explained how economies could get stuck in unemployment due to deficient aggregate demand.
但即便是资本市场在企业融资中扮演着更重要角色的英美两国，资产价格的膨胀也无力去鼓励消费者消费或企业投资。	But, even in the US and Britain, where capital markets play a much larger role in corporate finance, asset-price inflation did little to encourage consumers to spend or companies to invest.
如今，欧盟似乎无力阻止极权民粹主义在其创始成员国的崛起，保持凝聚力需要新的泛欧洲叙事，这个叙事要糅合多样的民族历史和政治习性。	Now that the EU seems incapable of stemming its rise among the bloc’s own founding members, maintaining cohesion would require a new pan-European narrative, one that incorporates diverse national histories and political idiosyncrasies.
9月以来在日本政府、商界和劳工领袖间进行的激烈讨论正在产生向上的良性循环 — — 工资增加带来更鲁棒的增长。	Intensive discussions since September among Japanese government, business, and labor leaders have been geared toward setting in motion an upward, virtuous cycle whereby increased wages lead to more robust growth.
但这样的媒体报导不够高瞻远瞩，未能全面理解人们和企业创造新业务方式的过程中，伴随着新形式电子货币变化的所有内涵。	But media coverage has failed to look far enough into the future, and to comprehend the full extent of the changes that will be wrought by new forms of electronic money, as people and businesses invent new ways of doing business.
大家都是人，减轻危害措施全球通行，更何况最大的受益者就是这些国家本身 — — 减少艾滋病毒传播，犯罪率下降，吸毒者也能重新投入工作。	Humans are humans. Harm reduction works everywhere, and the main financial benefactors are the countries themselves, which see reduced spread of HIV, drops in crime, and people returning to work.
尽管亚洲国家在这方面已经有了长足的进步，但在非洲国家，生活在极端贫困中的人口却比1990年增长了1亿4千万。	Although good progress in meeting these goals has been made in Asia, in Africa there are now 140 million more people living in extreme poverty than there were in 1990.
对于不是那么贵的鞋子，由于投入到生产过程中无形的部分的资金比较少，这个数字不是那么高，但是仍然超过了50 % 。	For less expensive shoes, with lower sums invested in the intangible parts of the production process, this figure was not as high, but still more than 50%.
2006年，在付出了5000万宗本可预防的疟疾死亡的代价之后，联合国所属世界卫生组织逆转禁令，批准将DDT用于杀灭和驱赶疟蚊。	In 2006, after roughly 50 million preventable deaths, the United Nations’ World Health Organization reversed course and endorsed the use of DDT to kill and repel Anopheles mosquitoes.
而且事实上，据美国情报部门的估测显示 ，截至去年9月，从土耳其流向叙利亚加入伊斯兰国等组织的国外招募者数量已经从高峰时期的每月2，000人减少到区区50人左右。	And, indeed, US intelligence estimates indicate that, by last September, the flow of foreign recruits crossing from Turkey into Syria to join groups like ISIS had dropped from a high of 2,000 per month to as few as 50.
奥巴马的连任给出了一个信号，一个只有在言论不脱离实际的情况下才会引起广泛共鸣（包括在过美国国内）的信号，这在奥巴马的第一个任期中屡试不爽。	Obama’s reelection sends a message, but one that will resonate widely – including at home – only if rhetoric does not depart from reality, as was too often the case during Obama’s first term.
或者，如精神病医生兹维·瑞斯（Zvi Rex）的名言所说 ， “ 由于奥斯维辛，德国人永远不会原谅犹太人 。 ”	Or, as the psychiatrist Zvi Rex famously quipped, “Germans will never forgive the Jews for Auschwitz.”
正如喜剧演员鲍勃·纽哈特（Bob Newhart）所观察到的 ， “ 教皇让我们孤独；我们也让教皇孤独 。 ”	As the comedian Bob Newhart observed, “The pope leaves us alone; we leave the pope alone.”
正常人经常都需要并应该得到帮助，但提供何种帮助不应该基于将他们的状况定义为精神障碍的错误决定，以及因此导致的错误处理。	Normal individuals often need and deserve help, but the decision as to the kind of help they get should not be biased by incorrect labeling of their conditions as mental disorders that suggest something is internally wrong with them.
在2012年里约+20峰会（Rio+20 Summit）的倡导下，70个国家的政府（包括40个中低收入国家）支持自然资本核算。	Following a campaign at the 2012 Rio+20 Summit, 70 governments, including those representing 40 middle- and low-income countries, endorsed natural capital accounting.
如果健康问题是糖尿病这样的慢性病，或者是癌症疝气等需要动手术的问题，那么等到需要时再保险策略就相当明智。	That wait-to-insure strategy makes sense if the medical condition is a chronic disease like diabetes or a condition requiring surgery, like cancer or a hernia.
